#                       1.000e-06  2.000e-04  1.000e-04  2.000e-03  1.000e-03
# iter          energy    delta_e   grad_max   grad_rms   disp_max   disp_rms
232     1.286346413164 -9.445e-05  2.278e-01  8.619e-02  3.335e-04* 1.717e-04*
233     1.286209038772 -1.374e-04  7.160e-02  2.896e-02  1.415e-04* 5.218e-05*
234     1.286205802166 -3.237e-06  9.766e-02  3.555e-02  1.983e-05* 7.759e-06*
235     1.286152216170 -5.359e-05  4.960e-02  2.817e-02  1.420e-04* 5.210e-05*
236     1.286097669947 -5.455e-05  1.303e-01  5.035e-02  1.696e-04* 6.914e-05*
237     1.286024322802 -7.335e-05  4.486e-02  1.981e-02  1.048e-04* 4.372e-05*
238     1.286009871955 -1.445e-05  1.086e-01  4.089e-02  6.575e-05* 2.995e-05*
239     1.285887078526 -1.228e-04  1.821e-01  5.943e-02  2.804e-04* 1.461e-04*
240     1.285690389084 -1.967e-04  1.259e-01  4.888e-02  3.045e-04* 1.556e-04*
241     1.285407073211 -2.833e-04  2.905e-01  9.763e-02  7.567e-04* 4.109e-04*
242     1.285095433826 -3.116e-04  1.843e-01  6.965e-02  3.726e-04* 1.610e-04*
243     1.285006410085 -8.902e-05  2.372e-01  8.030e-02  2.393e-04* 1.182e-04*
244     1.284893578103 -1.128e-04  7.241e-02  4.130e-02  1.184e-04* 5.209e-05*
245     1.284832229226 -6.135e-05  9.316e-02  3.950e-02  1.218e-04* 4.671e-05*
246     1.284794046482 -3.818e-05  7.281e-02  2.801e-02  9.437e-05* 3.654e-05*
247     1.284772587528 -2.146e-05  1.316e-01  4.695e-02  8.755e-05* 3.861e-05*
248     1.284703324836 -6.926e-05  8.363e-02  2.942e-02  1.120e-04* 4.719e-05*
249     1.284687234164 -1.609e-05  1.223e-01  4.824e-02  7.371e-05* 3.556e-05*
250     1.284627044444 -6.019e-05  7.944e-02  3.205e-02  1.159e-04* 4.543e-05*
251     1.284601434971 -2.561e-05  1.634e-01  6.411e-02  1.178e-04* 5.545e-05*
252     1.284509613784 -9.182e-05  5.469e-02  2.102e-02  1.175e-04* 4.890e-05*
253     1.284506047895 -3.566e-06  8.492e-02  3.078e-02  2.274e-05* 9.964e-06*
254     1.284310101523 -1.959e-04  3.178e-01  1.252e-01  5.934e-04* 3.486e-04*
255     1.284077817118 -2.323e-04  6.334e-02  2.396e-02  1.507e-04* 5.304e-05*
256     1.284056958726 -2.086e-05  5.105e-02  2.566e-02  7.703e-05* 2.262e-05*
257     1.284027083285 -2.988e-05  6.932e-02  2.958e-02  7.735e-05* 3.540e-05*
258     1.283914786747 -1.123e-04  1.840e-01  5.894e-02  3.256e-04* 1.344e-04*
259     1.283823482167 -9.130e-05  5.435e-02  2.332e-02  1.414e-04* 5.090e-05*
260     1.283815422570 -8.060e-06  9.354e-02  3.866e-02  5.332e-05* 1.974e-05*
261     1.283654903140 -1.605e-04  2.023e-01  6.710e-02  3.781e-04* 1.964e-04*
262     1.283520001135 -1.349e-04  1.005e-01  3.280e-02  1.686e-04* 7.577e-05*
263     1.283494735024 -2.527e-05  2.280e-01  5.918e-02  1.088e-04* 5.145e-05*
264     1.283362224820 -1.325e-04  9.988e-02  4.625e-02  2.348e-04* 1.111e-04*
265     1.283262501314 -9.972e-05  2.038e-01  8.192e-02  3.384e-04* 1.645e-04*
266     1.283090829299 -1.717e-04  8.375e-02  4.578e-02  2.289e-04* 8.847e-05*
267     1.283067905656 -2.292e-05  1.995e-01  6.875e-02  1.139e-04* 4.780e-05*
268     1.282951720618 -1.162e-04  8.479e-02  3.522e-02  1.715e-04* 7.105e-05*
269     1.282936059621 -1.566e-05  1.624e-01  5.397e-02  7.307e-05* 3.667e-05*
270     1.282842523355 -9.354e-05  9.393e-02  3.639e-02  1.761e-04* 7.137e-05*
271     1.282777518258 -6.501e-05  1.927e-01  7.770e-02  2.223e-04* 1.132e-04*
272     1.282637759641 -1.398e-04  8.394e-02  3.443e-02  1.897e-04* 7.243e-05*
273     1.282633178974 -4.581e-06  1.087e-01  4.464e-02  3.092e-05* 1.337e-05*
274     1.282548978938 -8.420e-05  5.812e-02  3.021e-02  1.577e-04* 6.983e-05*
275     1.282449150835 -9.983e-05  2.108e-01  8.896e-02  3.340e-04* 1.779e-04*
276     1.282287795476 -1.614e-04  8.935e-02  3.385e-02  2.003e-04* 6.764e-05*
277     1.282284972166 -2.823e-06  1.044e-01  3.919e-02  1.915e-05* 6.675e-06*
278     1.282226362926 -5.861e-05  4.699e-02  2.409e-02  1.130e-04* 4.809e-05*
279     1.282200215667 -2.615e-05  1.275e-01  5.349e-02  1.220e-04* 6.036e-05*
280     1.282105458500 -9.476e-05  9.637e-02  3.742e-02  1.908e-04* 6.357e-05*
281     1.282062599849 -4.286e-05  1.752e-01  6.167e-02  1.868e-04* 7.281e-05*
282     1.281979303472 -8.330e-05  7.407e-02  3.324e-02  1.260e-04* 4.926e-05*
283     1.281964523921 -1.478e-05  1.339e-01  5.187e-02  6.781e-05* 2.946e-05*
284     1.281882319928 -8.220e-05  6.643e-02  3.127e-02  1.717e-04* 6.170e-05*
285     1.281871258483 -1.106e-05  1.302e-01  5.273e-02  7.988e-05* 3.460e-05*
286     1.281770191219 -1.011e-04  1.015e-01  3.956e-02  1.734e-04* 7.658e-05*
287     1.281685081555 -8.511e-05  2.203e-01  9.141e-02  3.082e-04* 1.617e-04*
288     1.281525452420 -1.596e-04  9.574e-02  3.624e-02  1.822e-04* 6.832e-05*
289     1.281523069122 -2.383e-06  1.128e-01  4.075e-02  1.584e-05* 5.830e-06*
