# energy [kcal/mol] of he2
#  conf     e_total  e_nonbond   e_bonded  e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop
   9800 -1.13389e-08 -1.134e-08  0.000e+00  0.000e+00 -1.134e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   9900 -4.86832e-06 -4.868e-06  0.000e+00  0.000e+00 -4.868e-06  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  10000 -2.95238e-08 -2.952e-08  0.000e+00  0.000e+00 -2.952e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  10100 -1.92267e-08 -1.923e-08  0.000e+00  0.000e+00 -1.923e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  10200 -8.32269e-07 -8.323e-07  0.000e+00  0.000e+00 -8.323e-07  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  10300 -1.37915e-08 -1.379e-08  0.000e+00  0.000e+00 -1.379e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  10400 -6.98618e-08 -6.986e-08  0.000e+00  0.000e+00 -6.986e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  10500 -4.42060e-07 -4.421e-07  0.000e+00  0.000e+00 -4.421e-07  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  10600 -6.91603e-08 -6.916e-08  0.000e+00  0.000e+00 -6.916e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  10700 -9.35697e-09 -9.357e-09  0.000e+00  0.000e+00 -9.357e-09  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  10800 -2.25094e-08 -2.251e-08  0.000e+00  0.000e+00 -2.251e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  10900 -1.75538e-08 -1.755e-08  0.000e+00  0.000e+00 -1.755e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  11000 -6.28286e-08 -6.283e-08  0.000e+00  0.000e+00 -6.283e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  11100 -1.41667e-07 -1.417e-07  0.000e+00  0.000e+00 -1.417e-07  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  11200 -2.65924e-06 -2.659e-06  0.000e+00  0.000e+00 -2.659e-06  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  11300 -3.52115e-09 -3.521e-09  0.000e+00  0.000e+00 -3.521e-09  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  11400 -1.12036e-09 -1.120e-09  0.000e+00  0.000e+00 -1.120e-09  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  11500 -2.23995e-08 -2.240e-08  0.000e+00  0.000e+00 -2.240e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  11600 -2.87289e-08 -2.873e-08  0.000e+00  0.000e+00 -2.873e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  11700 -2.20404e-09 -2.204e-09  0.000e+00  0.000e+00 -2.204e-09  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  11800 -2.82322e-08 -2.823e-08  0.000e+00  0.000e+00 -2.823e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  11900 -1.60809e-08 -1.608e-08  0.000e+00  0.000e+00 -1.608e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  12000 -1.68157e-08 -1.682e-08  0.000e+00  0.000e+00 -1.682e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
