#
# INPUTFILE /home/tmpchem/coding/compchem/input/mc/benzene_2.mc
#
# -- INPUT DATA --
#
# MOLFILE /home/tmpchem/coding/compchem/geom/xyzq/benzene_2.xyzq
# ENERGYOUT /home/tmpchem/coding/compchem/data/mc/benzene_2.dat
# GEOMOUT /home/tmpchem/coding/compchem/data/mc/benzene_2.xyz
# RANDOMSEED 558222221
# TEMPERATURE 15.000000 K
# BOUNDARY 21.750000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSTIME 2.000000 s
# ENERGYCONF 25
# GEOMCONF 100
# TOTALCONF 20000
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol] vs. configuration
#  conf        e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop
   2075  2.16577e+00  1.302e+00  8.641e-01  0.000e+00 -6.454e-01  1.947e+00  3.446e-01  2.356e-01  2.659e-01  1.810e-02
   2100  2.17648e+00  1.303e+00  8.734e-01  0.000e+00 -6.431e-01  1.946e+00  3.333e-01  2.297e-01  2.902e-01  2.021e-02
   2125  2.33673e+00  1.305e+00  1.032e+00  0.000e+00 -6.419e-01  1.947e+00  4.903e-01  2.000e-01  3.165e-01  2.469e-02
   2150  2.38114e+00  1.306e+00  1.075e+00  0.000e+00 -6.399e-01  1.946e+00  4.863e-01  2.139e-01  3.478e-01  2.732e-02
   2175  2.25713e+00  1.304e+00  9.529e-01  0.000e+00 -6.401e-01  1.944e+00  3.220e-01  2.365e-01  3.624e-01  3.198e-02
   2200  2.22264e+00  1.303e+00  9.198e-01  0.000e+00 -6.393e-01  1.942e+00  3.043e-01  2.085e-01  3.754e-01  3.153e-02
   2225  2.30985e+00  1.310e+00  9.996e-01  0.000e+00 -6.395e-01  1.950e+00  3.967e-01  1.899e-01  3.823e-01  3.075e-02
   2250  2.21833e+00  1.303e+00  9.152e-01  0.000e+00 -6.391e-01  1.942e+00  2.494e-01  2.099e-01  4.230e-01  3.282e-02
   2275  2.32532e+00  1.301e+00  1.025e+00  0.000e+00 -6.404e-01  1.941e+00  3.437e-01  2.309e-01  4.193e-01  3.078e-02
   2300  2.36005e+00  1.302e+00  1.058e+00  0.000e+00 -6.403e-01  1.942e+00  3.284e-01  2.572e-01  4.405e-01  3.235e-02
   2325  2.35821e+00  1.304e+00  1.055e+00  0.000e+00 -6.415e-01  1.945e+00  3.194e-01  1.674e-01  5.253e-01  4.261e-02
   2350  2.34922e+00  1.308e+00  1.041e+00  0.000e+00 -6.402e-01  1.948e+00  2.989e-01  1.903e-01  5.115e-01  4.021e-02
   2375  2.47785e+00  1.309e+00  1.169e+00  0.000e+00 -6.399e-01  1.949e+00  4.296e-01  2.323e-01  4.692e-01  3.777e-02
   2400  2.14084e+00  1.305e+00  8.354e-01  0.000e+00 -6.388e-01  1.944e+00  2.538e-01  2.053e-01  3.473e-01  2.904e-02
   2425  2.13730e+00  1.304e+00  8.331e-01  0.000e+00 -6.381e-01  1.942e+00  3.705e-01  1.853e-01  2.565e-01  2.086e-02
   2450  2.09621e+00  1.310e+00  7.864e-01  0.000e+00 -6.364e-01  1.946e+00  2.595e-01  2.234e-01  2.820e-01  2.149e-02
   2475  2.20544e+00  1.309e+00  8.969e-01  0.000e+00 -6.364e-01  1.945e+00  3.826e-01  2.211e-01  2.724e-01  2.072e-02
   2500  2.08590e+00  1.309e+00  7.767e-01  0.000e+00 -6.369e-01  1.946e+00  2.107e-01  2.371e-01  3.047e-01  2.413e-02
   2525  2.14012e+00  1.313e+00  8.273e-01  0.000e+00 -6.378e-01  1.951e+00  3.018e-01  1.868e-01  3.138e-01  2.479e-02
   2550  2.03755e+00  1.307e+00  7.306e-01  0.000e+00 -6.381e-01  1.945e+00  2.559e-01  1.999e-01  2.555e-01  1.940e-02
   2575  2.13363e+00  1.308e+00  8.254e-01  0.000e+00 -6.387e-01  1.947e+00  3.312e-01  1.944e-01  2.794e-01  2.035e-02
   2600  2.27507e+00  1.310e+00  9.651e-01  0.000e+00 -6.387e-01  1.949e+00  5.052e-01  1.626e-01  2.778e-01  1.944e-02
   2625  1.91600e+00  1.308e+00  6.081e-01  0.000e+00 -6.372e-01  1.945e+00  1.816e-01  2.016e-01  2.109e-01  1.388e-02
   2650  1.87819e+00  1.309e+00  5.689e-01  0.000e+00 -6.360e-01  1.945e+00  1.624e-01  1.617e-01  2.272e-01  1.762e-02
   2675  2.01709e+00  1.308e+00  7.092e-01  0.000e+00 -6.360e-01  1.944e+00  3.559e-01  1.353e-01  2.023e-01  1.573e-02
   2700  1.93367e+00  1.306e+00  6.275e-01  0.000e+00 -6.359e-01  1.942e+00  2.057e-01  2.769e-01  1.370e-01  7.905e-03
   2725  1.92009e+00  1.309e+00  6.111e-01  0.000e+00 -6.365e-01  1.945e+00  1.797e-01  2.558e-01  1.624e-01  1.332e-02
   2750  1.99623e+00  1.308e+00  6.879e-01  0.000e+00 -6.379e-01  1.946e+00  2.770e-01  2.735e-01  1.282e-01  9.232e-03
   2775  1.97764e+00  1.309e+00  6.683e-01  0.000e+00 -6.368e-01  1.946e+00  2.745e-01  2.703e-01  1.163e-01  7.209e-03
   2800  1.98636e+00  1.312e+00  6.746e-01  0.000e+00 -6.370e-01  1.949e+00  3.456e-01  2.035e-01  1.200e-01  5.556e-03
   2825  2.16572e+00  1.313e+00  8.522e-01  0.000e+00 -6.364e-01  1.950e+00  4.489e-01  2.731e-01  1.230e-01  7.226e-03
   2850  1.97031e+00  1.311e+00  6.594e-01  0.000e+00 -6.372e-01  1.948e+00  2.665e-01  2.509e-01  1.336e-01  8.368e-03
   2875  2.07810e+00  1.312e+00  7.656e-01  0.000e+00 -6.377e-01  1.950e+00  3.500e-01  2.240e-01  1.821e-01  9.490e-03
   2900  2.09610e+00  1.313e+00  7.827e-01  0.000e+00 -6.354e-01  1.949e+00  3.014e-01  2.417e-01  2.281e-01  1.154e-02
   2925  2.30526e+00  1.317e+00  9.885e-01  0.000e+00 -6.368e-01  1.954e+00  4.187e-01  2.622e-01  2.869e-01  2.069e-02
   2950  2.23397e+00  1.317e+00  9.167e-01  0.000e+00 -6.378e-01  1.955e+00  4.135e-01  2.094e-01  2.733e-01  2.044e-02
   2975  2.23614e+00  1.311e+00  9.252e-01  0.000e+00 -6.378e-01  1.949e+00  3.381e-01  1.319e-01  4.185e-01  3.669e-02
   3000  2.29504e+00  1.312e+00  9.829e-01  0.000e+00 -6.376e-01  1.950e+00  3.178e-01  2.947e-01  3.423e-01  2.807e-02
